psraid,comp,cregion,rep,msa,fips,int_date,tz,usr,usr1,state,area,areaexch,q1,q2,q3a,q3b,q3c,q3d,q3e,q3f,q5,q6a,q6b,q7,q8,q9,q12,q12.1,q13,q14,q15,q16,datenew,activ01,activ17,activ33,activ54,activ58,activ71,activ73,activ82,activ87,q17,q19a,q19b,q19c,q19d,q19e,mar,mar2,mar3,mar4,margroup,date01a,date01b,date01c,date02_1,date02_2,date02_3,date02_4,date02_5,date02_6,date02_7,date02_8,date02_9,date02_0,date03,date04a,date04b,date05a,date05b,date05c,date05d,date05e,date05f,date06a,date06b,date06c,date06d,date06e,date06f,date06g,date06h,date07,date08,date09,date10,date11,date12,date12cd,date13,date13cd,date14,date15,date16,date17,sex,age,par,d2b,d2c,d2d,d2e,d2f,d2g,educ,empl,stud,hisp,race,polaf,polid,d6,d7,d8,d9,modem,bbw,inc,date02os,date12os,date13os,date14os,religos,modemos,recage2,density3,receduc,racethn,i_user,onldat,dow,e_user,homework,often,usertype,recq6ab,d2brec,child11,d2crec,child17,childol,online,long,olhome,olwork,student,denwt,file
23,1,3,111,46220,1125,100205,c,S,2,1,205,205333,2,2,1,2,2,4,1,1,1,1,1,1,1,2,7, , ,2,1,3,2,1,3, ,3,3,3,2,3,2,2,3,1,3,4,8,3,2, ,2,4,2, , , , , , , , , , , , , , , ,1,2,1,1,1,2,2,2, , , , , , , , , , , , , , , , , , , ,2,50,1,0,1, , ,1, ,3,1,3,2,1,3,3,3,1, ,2,2,1,7, , , , , , ,3,2,2,1,1,2,7,1,3,2,4,1,0,8,2,1,1,1,6,0,1,3,1.35416666666667,1
24,1,3,76,13820,1115,92305,c,S,2,1,205,205338,1,2,1,2,1,4,1,1,1,1,1,1,2,1,4, ,1,6, ,3, ,2,3,3,3,3,3,3,3,3,2,8,8,8,8,8,3,2, ,2,4,2, , , , , , , , , , , , , , , ,2,1,1,2,1,2,2,2, , , , , , , , , , , , , , , , , , , ,1,45,2, , , , , , ,6,1,3,2,1,1,4,2,1, ,1,3,9,9, , , , , , ,2,2,4,1,1,2,5,1,3,3,3,1, ,99, ,99,9,2,4,1,0,3,1.35416666666667,1
25,1,3,101,46220,1125,92105,c,U,1,1,205,205345,1,1,2,1,2,4,2,2,1,1,1,1,2,1,10, ,2, , ,1, ,1,3,3,2,3,3,3,3,3,2,8,8,2,8,8,4,2, ,2,4,1,1,1, , , , , , , , , , , , , ,8,2,1,1,1,8,2,2, , , , , , , , , , , , , , , , , , , ,2,55,2, , , , , , ,7,1,3,2,1,2,3,5,2, , , ,1,8, , , , , , ,3,2,4,1,1,2,3,1,2,1,3,1, ,99, ,99,9,2,6,2,0,3,1.08333333333333,1
26,1,3,113,13820,1127,100205,c,S,2,1,205,205384,2,2,1,1,1,4,2,1,1,1,1,1,2,1,10, ,2, , ,2,2,1,3, ,3,3,3,3,3,3,1,8,2,1,8,8,3,1,0, ,1,2, , , , , , , , , , , , , , , ,8,1,1,8,1,8,2,2,2,2,2,2,2,2,2, ,3, ,2, , ,1, , , , , ,1,49,2, , , , , , ,3,1,3,2,1,1,4,2,1, ,1, ,1,8, , , , , , ,2,1,2,1,1,2,7,1,2,2,3,1, ,99, ,99,9,2,6,2,0,3,1.5625,1
27,1,3,87,13820,1117,92605,c,S,2,1,205,205408,1,1,1,1,1,4,1,1,2,2,2, , , , , , , , , , , , , , , , , , , , , , , , , ,1, ,61, ,2,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2,78,2, , , , , , ,3,4,3,2,1,1,4,2,1, ,2, , ,9, , , , , , ,4,2,2,1,0,99,1,0,9,98,98,9, ,99, ,99,9, , , , ,3,1.14583333333333,1
28,1,3,108,46220,1125,92105,c,U,1,1,205,205556,2,2,1,1,1,4,2,1,2,2,2, , , , , , , , , , , , , , , , , , , , , , , , , ,5,2, ,2,4,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2,66,2, , , , , , ,3,3,3,2,1,3,2,2,1, ,1, , ,4, , , , , , ,4,2,2,1,0,99,3,0,9,98,98,9, ,99, ,99,9, , , , ,3,1.25,1
29,1,3,20,13820,1009,91705,c,S,2,1,205,205559,2,2,3,1,1,4,1,2,2,2,2, , , , , , , , , , , , , , , , , , , , , , , , , ,1, ,20, ,2,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1,49,1,1,0,2, , , ,3,1,3,2,1,3,3,5,1, ,1, , ,4, , , , , , ,2,1,2,1,0,99,6,0,9,98,98,9,2,2,0,8,0, , , , ,3,1.66666666666667,1
30,1,3,139,13820,1073,100205,c,U,1,1,205,205595,9,2,2,1,9,4,9,2,2,2,2, , , , , , , , , , , , , , , , , , , , , , , , , ,3,1,5, ,1,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2,63,2, , , , , , ,5,3,3,2,2,2,2,2,1, ,1, , ,2, , , , , , ,3,3,3,2,0,99,7,0,9,98,98,9, ,99, ,99,9, , , , ,3,1,1
31,1,3,79,13820,1117,91905,c,S,2,1,205,205621,1,2,1,1,3,3,4,1,1,1,1,1,1,2,10, , ,3,1,1, ,1,3,3,3,3,3,3,3,3,2,1,1,1,4,4,6,1,3, ,1,1,1,2, , , , , , , , , , , , , ,2,1,2,2,1,2,2,2,2,2,2,2,2,1,2, ,3, ,2, , ,2, , , , , ,1,19,2, , , , , , ,5,2,1,2,1,1,3,2,2, , ,3,1,3, , , , , , ,1,2,3,1,1,2,1,1,3,1,3,1, ,99, ,99,9,1,6,0,1,1,3.5,1
32,1,3,74,13820,1115,92005,c,S,2,1,205,205640,1,2,1,1,1,4,1,2,1,1,1,2, , ,1, ,1,4,2, , ,2,2,3,3,3,2,3,2,3,2,3,8,1,2,3,1, ,27, ,2,2, , , , , , , , , , , , , , , ,1,1,1,1,1,2,2,2, , , , , , , , ,3, ,2, , ,3, , , , , ,2,47,1,0,1, , ,1, ,3,4,3,2,1,1,3,5,1, ,9,1, ,9, , , , , , ,2,2,2,1,1,2,2,1,1,4,1,1,0,8,2,1,1, ,1,1,2,3,1.35416666666667,1
